row,plant,cluster,mass,penetrometer,Sugar One,Sugar Two,sugar_avg,date
A,8,1,192.15,0.25,6.4,6.3,6.35,8/5/2023
C,3,2,145.35,1.2,7.4,6.7,7.05,8/5/2023
B,8,1,150.41,1.18,5.9,5.5,5.7,8/5/2023
B,8,3,211.69,2.1,5.3,6.3,5.8,8/5/2023
C,3,1,145.91,0.85,6.2,5.8,6,8/5/2023
A,6,2,233.2,1.04,5.6,5.8,5.7,8/5/2023
B,5,1,166.78,1.2,6.7,6.5,6.6,8/5/2023
A,1,1,173.94,1.2,6.2,6.2,6.2,8/5/2023
A,6,1,339.1,0.9,6.5,6.5,6.5,8/5/2023
A,6,1,170.62,1.3,6.8,6.4,6.6,8/5/2023
C,6,1,257.14,1.48,5.7,5.6,5.65,8/5/2023
C,7,2,201.34,1.8,5.3,5.7,5.5,8/5/2023
C,6,1,239.96,1.6,5.9,6.1,6,8/5/2023
C,6,1,243.78,1.7,5.7,6.1,5.9,8/5/2023
B,2,1,188.55,0.95,6.2,6,6.1,8/5/2023
B,3,1,181.46,1.25,6.1,5.5,5.8,8/5/2023
D,5,2,222.2,0.8,7.3,7.1,7.2,8/5/2023
A,6,2,244.31,1.49,5.9,5.6,5.75,8/5/2023
D,6,1,111.55,1.2,7.6,7.9,7.75,8/5/2023
A,6,2,139.47,1.6,5.9,5.9,5.9,8/5/2023
C,3,1,166.43,1.8,7,7.2,7.1,8/5/2023
C,6,2,266,1.35,5.8,6,5.9,8/5/2023
C,4,1,102.31,1.2,7.7,8.4,8.05,8/5/2023
A,5,1,289,1.5,5.5,5.8,5.65,8/5/2023
D,4,1,129.49,1.48,7.7,8.2,7.95,8/5/2023
B,7,2,162.99,1.05,6.3,6.7,6.5,8/5/2023
A,8,1,222.1,1.1,3.9,5.3,4.6,8/5/2023
B,3,1,201.59,1,5.1,5.2,5.15,8/5/2023
D,5,2,181.26,2.5,5.2,6.8,6,8/5/2023
B,7,1,167.07,1.2,5.4,6.8,6.1,8/5/2023
B,6,1,123.61,1.05,6.8,7.5,7.15,8/5/2023
C,3,2,173.08,0.98,5.3,6,5.65,8/5/2023
B,5,1,126.57,1.05,5.5,6.7,6.1,8/5/2023
A,7,1,159.01,1.28,5.5,5,5.25,8/5/2023
B,1,1,179.8,1.7,6.2,7.5,6.85,8/5/2023
A,2,1,170.62,1.12,4.6,5.7,5.15,8/5/2023
A,2,2,194.94,1.13,6.1,7.1,6.6,8/5/2023
B,8,3,264.6,1.45,5.9,5.8,5.85,8/5/2023
A,1,2,238.4,1.1,5.5,6.4,5.95,8/5/2023
B,2,1,244.2,0.95,5.7,4.6,5.15,8/5/2023
B,6,2,324.1,1.25,5.7,5.8,5.75,8/11/2023
D,5,3,170.77,1.3,6.5,8.5,7.5,8/11/2023
A,5,2,285.6,1.2,6.1,6.2,6.15,8/11/2023
B,7,1,37.92,0.5,7.9,7.8,7.85,8/11/2023
A,5,3,293.1,1.5,6.2,6.1,6.15,8/11/2023
B,7,1,82.93,1,7.8,6.8,7.3,8/11/2023
B,2,3,150.63,1.45,6.1,6.8,6.45,8/11/2023
A,5,4,257.4,1.55,6.4,5.9,6.15,8/11/2023
B,7,2,126.96,1.25,7.9,7.6,7.75,8/11/2023
A,3,3,334.8,1.15,6.1,6.3,6.2,8/11/2023
B,2,3,212.59,1.35,6.5,7.1,6.8,8/11/2023
A,1,1,234.1,1.25,6,6.7,6.35,8/11/2023
D,4,3,157.87,1,9.1,8.7,8.9,8/11/2023
A,7,5,239.1,1.35,6.5,6.6,6.55,8/11/2023
B,7,1,181.86,1,6.4,6.6,6.5,8/11/2023
A,4,4,178.85,1.1,6.1,6.5,6.3,8/11/2023
B,6,3,240.3,1.3,5.8,5.8,5.8,8/11/2023
B,4,2,182.25,1,6.9,6.6,6.75,8/11/2023
B,3,2,136.49,1.2,5.4,5.2,5.3,8/11/2023
B,2,5,236.6,1.45,6.2,6.1,6.15,8/11/2023
A,2,3,169.43,1.1,5.7,5.5,5.6,8/11/2023
A,2,2,168.8,1.8,5.6,5.4,5.5,8/11/2023
B,2,1,103.42,1.3,7.3,7.7,7.5,8/11/2023
B,6,3,197.07,0.95,6.9,6.4,6.65,8/19/2023
C,5,4,78.5,0.8,4.8,3.4,4.1,8/19/2023
B,4,2,94.04,0.8,8.2,8.1,8.15,8/19/2023
A,8,2,191.8,1.5,6.1,5.2,5.65,8/19/2023
B,2,1,149.86,1.25,7.6,6.9,7.25,8/19/2023
B,6,2,202.2,1.92,6.5,6.1,6.3,8/19/2023
B,6,1,155.94,1.8,7.3,6.6,6.95,8/19/2023
A,7,1,96.1,1,9,8.8,8.9,8/19/2023
A,6,4,175.62,0.95,7.6,6.6,7.1,8/19/2023
B,5,1,116.5,1.25,8.1,8.1,8.1,8/19/2023
B,2,2,106.39,1.5,7.4,7.2,7.3,8/19/2023
B,6,1,146.1,1.3,5.3,5.4,5.35,8/19/2023
A,6,3,317.9,1.05,6.2,6.6,6.4,8/19/2023
A,2,5,186.64,0.9,5.8,5.8,5.8,8/19/2023
B,3,2,154.4,1.59,5.3,5.2,5.25,8/19/2023
A,4,3,98.69,1,7.7,7.7,7.7,8/19/2023
A,5,1,211.5,1,5.6,5.9,5.75,8/19/2023
A,4,2,174.93,1.4,6.5,6.5,6.5,8/19/2023
B,6,1,91.6,0.9,5.9,6,5.95,8/19/2023
C,7,1,149.71,1,6.9,6.3,6.6,8/19/2023
C,5,1,71.88,1.15,4.4,5,4.7,8/19/2023
A,2,1,97.9,0.9,6,5.9,5.95,8/19/2023
C,5,4,169.22,0.8,4.8,4.4,4.6,8/19/2023
B,2,1,132.4,1.39,6.4,6.4,6.4,8/19/2023
C,5,2,156.93,1.15,5.2,4.6,4.9,8/19/2023
B,4,2,195.9,1.05,6,5.7,5.85,8/19/2023
C,5,3,103.21,1,5,4.6,4.8,8/19/2023
B,4,3,83,1.6,8.3,8.1,8.2,8/19/2023
C,5,1,97.26,0.75,5,4.7,4.85,8/19/2023
C,5,1,60.41,1.25,3.9,3.3,3.6,8/19/2023
C,5,2,174.2,1.42,5.8,5.5,5.65,8/19/2023
C,1,1,33.96,1,9.8,10.1,9.95,8/19/2023
B,3,1,152.3,1.12,6.7,7,6.85,8/19/2023
B,7,1,157.95,0.9,7,6.9,6.95,8/19/2023
B,7,1,194.9,2.15,6.9,6.7,6.8,8/19/2023
A,4,1,125.04,1.1,7.3,7,7.15,8/19/2023
C,7,1,246.7,1.31,5.4,5.5,5.45,8/19/2023
A,1,4,147.57,1.1,6.5,6.8,6.65,8/21/2023
B,1,1,175.31,0.75,6.6,6.7,6.65,8/21/2023
D,7,2,137.4,1.8,9.1,9.1,9.1,8/21/2023
A,1,1,124.59,0.9,5.8,6.2,6,8/21/2023
A,8,3,142.6,1.68,6.8,6.8,6.8,8/21/2023
C,2,1,112.06,0.2,7.3,7.6,7.45,8/21/2023
C,8,5,94.7,1.4,9.2,10,9.6,8/21/2023
D,5,4,47.98,0.95,9.6,9.1,9.35,8/21/2023
B,5,1,141.5,1.06,7.3,7,7.15,8/21/2023
C,5,1,47.9,1,3.8,3.7,3.75,8/21/2023
B,7,1,112.3,0.8,7,7.3,7.15,8/21/2023
C,2,1,109.98,1.25,7.2,7,7.1,8/21/2023
C,2,2,110.63,1.85,7.5,7.7,7.6,8/21/2023
C,6,4,192.82,1,4.9,6,5.45,8/21/2023
A,8,1,77.61,0.8,8.8,8,8.4,8/21/2023
A,8,6,108.33,1.35,3.8,5.4,4.6,8/21/2023
D,6,1,116.24,1.1,4.1,5.1,4.6,8/21/2023
C,6,2,127.47,0.8,6.3,4.2,5.25,8/21/2023
A,3,1,218.9,1.4,7,6.8,6.9,8/21/2023
A,3,4,182.15,1.1,4.8,6,5.4,8/21/2023
A,3,1,193.46,1.15,6.7,7,6.85,8/21/2023
C,2,2,121.07,1,4.9,7.4,6.15,8/21/2023
A,2,2,112.69,1,6,6,6,8/25/2023
D,3,1,66.56,1.05,7.4,7.5,7.45,8/25/2023
D,2,6,63.42,0.5,4.3,7.1,5.7,8/25/2023
A,6,2,154.18,0.95,4.4,6.1,5.25,8/25/2023
C,4,1,51.98,1.15,8.8,8.7,8.75,8/25/2023
B,2,3,113.23,1.65,6.8,6.8,6.8,8/25/2023
A,1,2,149.19,1.15,6.7,6.7,6.7,8/25/2023
A,3,2,113.19,1.1,6.5,6.5,6.5,8/25/2023
D,2,5,139.12,1.62,7.2,7.4,7.3,8/25/2023
D,4,4,57.17,2,8.4,8.6,8.5,8/25/2023
D,6,3,96.41,2.15,8.1,8.3,8.2,8/25/2023
A,5,4,84.73,1.1,5.5,5.6,5.55,8/25/2023
C,1,4,63.36,1.15,8.1,8.3,8.2,8/25/2023
D,1,4,31.16,1.1,7.7,8,7.85,8/25/2023
A,1,5,66.51,1,6.7,6.7,6.7,8/25/2023
A,8,3,74.2,1.98,6.6,6.7,6.65,8/25/2023
A,8,3,54.98,2.25,6.8,7.2,7,8/25/2023
A,6,1,135.63,1.9,6.1,4.1,5.1,9/1/2023
A,5,5,179.74,1.55,6.6,6.2,6.4,9/1/2023
B,5,4,136.25,1.25,6.2,5.6,5.9,9/1/2023
D,2,4,69.3,1.3,7.2,6.2,6.7,9/1/2023
D,1,8,55.47,2.05,8.6,8.6,8.6,9/1/2023
A,8,5,55.36,1.6,7.9,8.1,8,9/1/2023
D,2,3,123.8,1.8,7,7.8,7.4,9/1/2023
B,4,2,144.1,1.4,6.4,6.3,6.35,9/1/2023
B,7,4,96.5,1.1,6,5.9,5.95,9/1/2023
D,1,4,45.36,1.7,8.7,8.8,8.75,9/1/2023
B,2,4,111.66,1.5,6.6,6.7,6.65,9/1/2023
A,3,3,71.56,1.1,7.8,7.5,7.65,9/1/2023
B,6,2,100.39,1.4,6.6,6.6,6.6,9/1/2023
A,6,1,85.4,1.85,7.4,5.9,6.65,9/1/2023
B,2,4,107.92,1.5,6.4,6.4,6.4,9/1/2023
C,2,4,89.91,1.55,7.1,7.1,7.1,9/1/2023
B,1,2,108.66,1.4,7.4,7.4,7.4,9/1/2023
B,2,3,59.54,1.5,6.6,6.9,6.75,9/1/2023
A,5,6,134.87,1.2,6.1,5.8,5.95,9/1/2023
B,7,4,61.61,1.6,7.1,7.3,7.2,9/1/2023
A,4,3,95.94,1.25,6.3,6.3,6.3,9/1/2023
B,7,7,83.24,1,7.3,7.6,7.45,9/1/2023
C,1,2,39.3,2.5,8.2,7.9,8.05,9/1/2023
A,4,5,99.79,1.3,7.3,7.3,7.3,9/1/2023
D,2,3,60.29,1.65,7.7,8.4,8.05,9/1/2023
A,1,5,88.09,1.35,7.2,6.5,6.85,9/1/2023
D,7,2,93.13,1.45,7.7,8,7.85,9/1/2023
C,1,4,62.56,1.6,5.2,5.1,5.15,9/1/2023
A,4,7,68.93,1.55,4.3,6.8,5.55,9/1/2023
B,8,1,98.31,1,7.9,7.6,7.75,9/1/2023
A,4,10,110.13,1.5,7,6.5,6.75,9/1/2023
C,4,3,89.15,1.95,7.7,7.7,7.7,9/1/2023
B,2,2,77.27,2.89,7,6.7,6.85,9/1/2023
B,1,8,99.11,1,7.8,7.8,7.8,9/1/2023
D,5,6,62.08,1.85,9.2,9.3,9.25,9/1/2023
D,4,2,54.55,1.33,8.6,8.7,8.65,9/1/2023
C,8,3,76.55,2.3,10,9.9,9.95,9/1/2023
D,1,6,87.86,1.75,8.1,8.1,8.1,9/1/2023
D,4,2,87.74,1.3,8.4,9,8.7,9/1/2023
A,7,9,63.9,2.1,7.6,7.4,7.5,9/1/2023
C,1,5,65.18,1.35,8.3,8.4,8.35,9/1/2023
D,6,7,67.77,2.05,9.2,9.2,9.2,9/1/2023
C,2,6,52.02,1.45,10.1,9.8,9.95,9/1/2023
B,7,4,82.85,2,6.1,5.9,6,9/1/2023
B,8,6,59.87,2.1,8.4,8.7,8.55,9/1/2023
C,3,4,97.25,1.4,7.2,7.4,7.3,9/1/2023
D,5,3,50.81,2.25,8.7,8.5,8.6,9/1/2023
B,8,4,61.69,1.3,9,8.5,8.75,9/1/2023
B,4,2,74.06,1,6.8,7,6.9,9/1/2023
D,1,4,41.91,0.5,8.4,7.8,8.1,9/1/2023
B,8,4,82.29,1.2,7.4,8.2,7.8,9/1/2023
B,8,9,47.23,1.5,8.5,8.6,8.55,9/1/2023
